Timestamp,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Exercise
2016-03-03 09:58:48.080,-0.629,0.008,-0.074,3.3479173610843884,-117.82958475540624,-38.05809450924083,2.0
2016-03-03 09:58:48.090,-0.664,0.02,-0.031,-1.0910570771266457,-107.49362851663392,-34.46924566443982,2.0
2016-03-03 09:58:48.100,-0.684,0.023,0.039,-7.92561459660506,-96.91421936136874,-29.940493807035235,2.0
2016-03-03 09:58:48.110,-0.715,0.023,0.063,-13.264385628256484,-85.8384683406318,-26.864747039521802,2.0
2016-03-03 09:58:48.120,-0.766,0.031,0.078,-15.820277894178972,-74.4320024889767,-23.84388538080602,2.0
2016-03-03 09:58:48.130,-0.805,0.016,0.09,-17.26635035299756,-62.98107114984321,-19.883224122732624,2.0
2016-03-03 09:58:48.140,-0.832,0.008,0.102,-17.470221996771354,-51.50755754688835,-17.60392247180512,2.0
2016-03-03 09:58:48.150,-0.867,0.016,0.094,-17.42596767796401,-40.59320535022231,-17.07409429395134,2.0
2016-03-03 09:58:48.160,-0.891,0.027,0.082,-19.248281044713774,-30.28832279548864,-15.851796655661541,2.0
2016-03-03 09:58:48.170,-0.91,0.039,0.086,-23.9329625345638,-19.991562654394116,-14.440253606080644,2.0
2016-03-03 09:58:48.180,-0.902,0.039,0.098,-29.773011663252312,-10.131541096012358,-13.670716340596123,2.0
2016-03-03 09:58:48.190,-0.898,0.008,0.105,-30.43882524299855,-0.6663101029588727,-12.756755045882548,2.0
2016-03-03 09:58:48.200,-0.902,-0.016,0.102,-25.41892038639885,9.555706383503935,-11.226982261771107,2.0
2016-03-03 09:58:48.210,-0.906,-0.02,0.098,-23.618829668329134,19.994250108795207,-8.837329331964984,2.0
2016-03-03 09:58:48.220,-0.906,-0.004,0.078,-27.895967017714014,29.536818960125345,-6.032695269908981,2.0
2016-03-03 09:58:48.230,-0.895,0.004,0.07,-32.479399198892196,39.03321842844049,-3.1510709694711148,2.0
2016-03-03 09:58:48.240,-0.871,-0.012,0.055,-33.75474134206411,49.07819155101262,-0.20646679286593872,2.0
2016-03-03 09:58:48.250,-0.859,-0.027,0.039,-32.19059844425337,59.10791169431913,2.190436012821997,2.0
2016-03-03 09:58:48.260,-0.852,-0.043,0.023,-30.60842707710726,68.53564260154725,4.30641202631042,2.0
2016-03-03 09:58:48.270,-0.852,-0.043,-0.012,-30.540777146545118,76.61517358290884,6.7525810956272565,2.0
2016-03-03 09:58:48.280,-0.84,-0.043,-0.027,-28.854320328945036,83.47741619104276,9.231839259695468,2.0
2016-03-03 09:58:48.290,-0.828,-0.059,-0.055,-23.767092425632992,89.92688402121013,11.51661017127112,2.0
2016-03-03 09:58:48.300,-0.809,-0.055,-0.094,-17.80549514596966,96.03199499505851,13.842004448570908,2.0
2016-03-03 09:58:48.310,-0.801,-0.039,-0.117,-13.88687618665963,101.81238518455447,16.713943617585358,2.0
2016-03-03 09:58:48.320,-0.781,-0.023,-0.125,-12.301980216529063,107.42265490473991,19.960961079071843,2.0
